t 1 jL0300
2.6600000e-002 -7.6577523e-001 7.6577523e-001
2.6700000e-002 -7.6501022e-001 7.6501022e-001
2.6800000e-002 -7.6424597e-001 7.6424597e-001
2.6900000e-002 -7.6348249e-001 7.6348249e-001
2.7000000e-002 -7.6271977e-001 7.6271977e-001
2.7100000e-002 -7.6195781e-001 7.6195781e-001
2.7200000e-002 -7.6119661e-001 7.6119661e-001
2.7300000e-002 -7.6043618e-001 7.6043618e-001
2.7400000e-002 -7.5967650e-001 7.5967650e-001
2.7500000e-002 -7.5891758e-001 7.5891758e-001
2.7600000e-002 -7.5815942e-001 7.5815942e-001
2.7700000e-002 -7.5740202e-001 7.5740202e-001
2.7800000e-002 -7.5664538e-001 7.5664538e-001
2.7900000e-002 -7.5588949e-001 7.5588949e-001
2.8000000e-002 -7.5513435e-001 7.5513435e-001
2.8100000e-002 -7.5437997e-001 7.5437997e-001
2.8200000e-002 -7.5362635e-001 7.5362635e-001
2.8300000e-002 -7.5287347e-001 7.5287347e-001
2.8400000e-002 -7.5212135e-001 7.5212135e-001
2.8500000e-002 -7.5136998e-001 7.5136998e-001
2.8600000e-002 -7.5061936e-001 7.5061936e-001
2.8700000e-002 -7.4986949e-001 7.4986949e-001
2.8800000e-002 -7.4912037e-001 7.4912037e-001
2.8900000e-002 -7.4837200e-001 7.4837200e-001
2.9000000e-002 -7.4762438e-001 7.4762438e-001
2.9100000e-002 -7.4687750e-001 7.4687750e-001
2.9200000e-002 -7.4613137e-001 7.4613137e-001
2.9300000e-002 -7.4538598e-001 7.4538598e-001
2.9400000e-002 -7.4464134e-001 7.4464134e-001
2.9500000e-002 -7.4389744e-001 7.4389744e-001
2.9600000e-002 -7.4315429e-001 7.4315429e-001
2.9700000e-002 -7.4241188e-001 7.4241188e-001
2.9800000e-002 -7.4167021e-001 7.4167021e-001
2.9900000e-002 -7.4092928e-001 7.4092928e-001
3.0000000e-002 -7.4018909e-001 7.4018909e-001
3.0100000e-002 -7.3944964e-001 7.3944964e-001
3.0200000e-002 -7.3871093e-001 7.3871093e-001
3.0300000e-002 -7.3797296e-001 7.3797296e-001
3.0400000e-002 -7.3723572e-001 7.3723572e-001
3.0500000e-002 -7.3649922e-001 7.3649922e-001
