t 1 2 3 4 5
1.2100000e-003 2.7261159e-002 4.7541705e-001 2.7261159e-002 5.4522318e-002 2.7261159e-002
1.2200000e-003 3.3361083e-002 4.4815589e-001 3.3361083e-002 6.6722166e-002 3.3361083e-002
1.2300000e-003 3.8889108e-002 4.1479481e-001 3.8889108e-002 7.7778216e-002 3.8889108e-002
1.2400000e-003 4.3773406e-002 3.7590570e-001 4.3773406e-002 8.7546813e-002 4.3773406e-002
1.2500000e-003 4.7952521e-002 3.3213230e-001 4.7952521e-002 9.5905041e-002 4.7952521e-002
1.2600000e-003 5.1376104e-002 2.8417978e-001 5.1376104e-002 1.0275221e-001 5.1376104e-002
1.2700000e-003 5.4005489e-002 2.3280367e-001 5.4005489e-002 1.0801098e-001 5.4005489e-002
1.2800000e-003 5.5814079e-002 1.7879818e-001 5.5814079e-002 1.1162816e-001 5.5814079e-002
1.2900000e-003 5.6787558e-002 1.2298410e-001 5.6787558e-002 1.1357512e-001 5.6787558e-002
1.3000000e-003 5.6923920e-002 6.6196546e-002 5.6923920e-002 1.1384784e-001 5.6923920e-002
1.3100000e-003 5.6233321e-002 9.2726263e-003 5.6233321e-002 1.1246664e-001 5.6233321e-002
1.3200000e-003 5.4737756e-002 -4.6960695e-002 5.4737756e-002 1.0947551e-001 5.4737756e-002
1.3300000e-003 5.2470564e-002 -1.0169845e-001 5.2470564e-002 1.0494113e-001 5.2470564e-002
1.3400000e-003 4.9475788e-002 -1.5416902e-001 4.9475788e-002 9.8951576e-002 4.9475788e-002
1.3500000e-003 4.5807373e-002 -2.0364480e-001 4.5807373e-002 9.1614747e-002 4.5807373e-002
1.3600000e-003 4.1528250e-002 -2.4945218e-001 4.1528250e-002 8.3056499e-002 4.1528250e-002
1.3700000e-003 3.6709283e-002 -2.9098043e-001 3.6709283e-002 7.3418567e-002 3.6709283e-002
1.3800000e-003 3.1428138e-002 -3.2768971e-001 3.1428138e-002 6.2856277e-002 3.1428138e-002
1.3900000e-003 2.5768052e-002 -3.5911785e-001 2.5768052e-002 5.1536103e-002 2.5768052e-002
1.4000000e-003 1.9816545e-002 -3.8488590e-001 1.9816545e-002 3.9633090e-002 1.9816545e-002
1.4100000e-003 1.3664096e-002 -4.0470244e-001 1.3664096e-002 2.7328192e-002 1.3664096e-002
1.4200000e-003 7.4027825e-003 -4.1836654e-001 7.4027825e-003 1.4805565e-002 7.4027825e-003
1.4300000e-003 1.1249259e-003 -4.2576932e-001 1.1249259e-003 2.2498517e-003 1.1249259e-003
1.4400000e-003 -5.0782506e-003 -4.2689425e-001 -5.0782506e-003 -1.0156501e-002 -5.0782506e-003
1.4500000e-003 -1.1117928e-002 -4.2181600e-001 -1.1117928e-002 -2.2235856e-002 -1.1117928e-002
1.4600000e-003 -1.6908945e-002 -4.1069807e-001 -1.6908945e-002 -3.3817889e-002 -1.6908945e-002
1.4700000e-003 -2.2370976e-002 -3.9378913e-001 -2.2370976e-002 -4.4741952e-002 -2.2370976e-002
1.4800000e-003 -2.7429631e-002 -3.7141815e-001 -2.7429631e-002 -5.4859262e-002 -2.7429631e-002
1.4900000e-003 -3.2017441e-002 -3.4398852e-001 -3.2017441e-002 -6.4034882e-002 -3.2017441e-002
1.5000000e-003 -3.6074740e-002 -3.1197108e-001 -3.6074740e-002 -7.2149480e-002 -3.6074740e-002
1.5100000e-003 -3.9550415e-002 -2.7589634e-001 -3.9550415e-002 -7.9100831e-002 -3.9550415e-002
1.5200000e-003 -4.2402524e-002 -2.3634592e-001 -4.2402524e-002 -8.4805048e-002 -4.2402524e-002
1.5300000e-003 -4.4598769e-002 -1.9394340e-001 -4.4598769e-002 -8.9197537e-002 -4.4598769e-002
1.5400000e-003 -4.6116825e-002 -1.4934463e-001 -4.6116825e-002 -9.2233649e-002 -4.6116825e-002
1.5500000e-003 -4.6944520e-002 -1.0322780e-001 -4.6944520e-002 -9.3889040e-002 -4.6944520e-002
1.5600000e-003 -4.7079864e-002 -5.6283285e-002 -4.7079864e-002 -9.4159729e-002 -4.7079864e-002
1.5700000e-003 -4.6530930e-002 -9.2034205e-003 -4.6530930e-002 -9.3061861e-002 -4.6530930e-002
1.5800000e-003 -4.5315591e-002 3.7327510e-002 -4.5315591e-002 -9.0631181e-002 -4.5315591e-002
1.5900000e-003 -4.3461117e-002 8.2643101e-002 -4.3461117e-002 -8.6922234e-002 -4.3461117e-002
1.6000000e-003 -4.1003648e-002 1.2610422e-001 -4.1003648e-002 -8.2007297e-002 -4.1003648e-002
1.6100000e-003 -3.7987539e-002 1.6710787e-001 -3.7987539e-002 -7.5975079e-002 -3.7987539e-002
1.6200000e-003 -3.4464598e-002 2.0509541e-001 -3.4464598e-002 -6.8929196e-002 -3.4464598e-002
1.6300000e-003 -3.0493227e-002 2.3956000e-001 -3.0493227e-002 -6.0986454e-002 -3.0493227e-002
1.6400000e-003 -2.6137481e-002 2.7005323e-001 -2.6137481e-002 -5.2274963e-002 -2.6137481e-002
1.6500000e-003 -2.1466058e-002 2.9619071e-001 -2.1466058e-002 -4.2932117e-002 -2.1466058e-002
1.6600000e-003 -1.6551235e-002 3.1765677e-001 -1.6551235e-002 -3.3102469e-002 -1.6551235e-002
1.6700000e-003 -1.1467767e-002 3.3420800e-001 -1.1467767e-002 -2.2935535e-002 -1.1467767e-002
1.6800000e-003 -6.2917741e-003 3.4567577e-001 -6.2917741e-003 -1.2583548e-002 -6.2917741e-003
1.6900000e-003 -1.0996100e-003 3.5196755e-001 -1.0996100e-003 -2.1992201e-003 -1.0996100e-003
1.7000000e-003 4.0332416e-003 3.5306716e-001 4.0332416e-003 8.0664833e-003 4.0332416e-003
1.7100000e-003 9.0332514e-003 3.4903391e-001 9.0332514e-003 1.8066503e-002 9.0332514e-003
1.7200000e-003 1.3829881e-002 3.4000066e-001 1.3829881e-002 2.7659761e-002 1.3829881e-002
1.7300000e-003 1.8356560e-002 3.2617078e-001 1.8356560e-002 3.6713121e-002 1.8356560e-002
1.7400000e-003 2.2551599e-002 3.0781422e-001 2.2551599e-002 4.5103198e-002 2.2551599e-002
1.7500000e-003 2.6359005e-002 2.8526262e-001 2.6359005e-002 5.2718010e-002 2.6359005e-002
1.7600000e-003 2.9729217e-002 2.5890362e-001 2.9729217e-002 5.9458434e-002 2.9729217e-002
1.7700000e-003 3.2619727e-002 2.2917440e-001 3.2619727e-002 6.5239454e-002 3.2619727e-002
1.7800000e-003 3.4995596e-002 1.9655468e-001 3.4995596e-002 6.9991191e-002 3.4995596e-002
