t 1 2 3 4 5 6 jL0100 jL0200 jL0300
3.6600000e-005 3.9088484e-001 -6.7573988e-001 -8.9106913e-001 -8.9106913e-001 -1.5668090e+000 -1.1759242e+000 2.8917133e-002 4.4724458e-002 -3.1636075e-002
3.6900000e-005 3.8217531e-001 -6.8890921e-001 -8.8086481e-001 -8.8086481e-001 -1.5697740e+000 -1.1875987e+000 2.9031786e-002 4.3897767e-002 -3.4014410e-002
3.7200000e-005 3.7343216e-001 -7.0182588e-001 -8.6995582e-001 -8.6995582e-001 -1.5717817e+000 -1.1983495e+000 2.9143815e-002 4.3055576e-002 -3.6363290e-002
3.7500000e-005 3.6465620e-001 -7.1448534e-001 -8.5835157e-001 -8.5835157e-001 -1.5728369e+000 -1.2081807e+000 2.9253212e-002 4.2198194e-002 -3.8680840e-002
3.7800000e-005 3.5584821e-001 -7.2688312e-001 -8.4606201e-001 -8.4606201e-001 -1.5729451e+000 -1.2170969e+000 2.9359967e-002 4.1325934e-002 -4.0965207e-002
3.8100000e-005 3.4700899e-001 -7.3901485e-001 -8.3309763e-001 -8.3309763e-001 -1.5721125e+000 -1.2251035e+000 2.9464069e-002 4.0439116e-002 -4.3214571e-002
3.8400000e-005 3.3813933e-001 -7.5087627e-001 -8.1946949e-001 -8.1946949e-001 -1.5703458e+000 -1.2322064e+000 2.9565511e-002 3.9538065e-002 -4.5427138e-002
3.8700000e-005 3.2924005e-001 -7.6246321e-001 -8.0518915e-001 -8.0518915e-001 -1.5676524e+000 -1.2384123e+000 2.9664283e-002 3.8623109e-002 -4.7601149e-002
3.9000000e-005 3.2031194e-001 -7.7377158e-001 -7.9026869e-001 -7.9026869e-001 -1.5640403e+000 -1.2437283e+000 2.9760377e-002 3.7694583e-002 -4.9734874e-002
3.9300000e-005 3.1135580e-001 -7.8479743e-001 -7.7472070e-001 -7.7472070e-001 -1.5595181e+000 -1.2481623e+000 2.9853783e-002 3.6752826e-002 -5.1826620e-002
3.9600000e-005 3.0237245e-001 -7.9553688e-001 -7.5855828e-001 -7.5855828e-001 -1.5540952e+000 -1.2517227e+000 2.9944495e-002 3.5798182e-002 -5.3874728e-002
3.9900000e-005 2.9336270e-001 -8.0598618e-001 -7.4179501e-001 -7.4179501e-001 -1.5477812e+000 -1.2544185e+000 3.0032504e-002 3.4830998e-002 -5.5877574e-002
4.0200000e-005 2.8432736e-001 -8.1614167e-001 -7.2444494e-001 -7.2444494e-001 -1.5405866e+000 -1.2562592e+000 3.0117802e-002 3.3851628e-002 -5.7833576e-002
4.0500000e-005 2.7526725e-001 -8.2599980e-001 -7.0652258e-001 -7.0652258e-001 -1.5325224e+000 -1.2572551e+000 3.0200382e-002 3.2860428e-002 -5.9741187e-002
4.0800000e-005 2.6618317e-001 -8.3555713e-001 -6.8804291e-001 -6.8804291e-001 -1.5236000e+000 -1.2574169e+000 3.0280237e-002 3.1857760e-002 -6.1598902e-002
4.1100000e-005 2.5707597e-001 -8.4481032e-001 -6.6902133e-001 -6.6902133e-001 -1.5138317e+000 -1.2567557e+000 3.0357360e-002 3.0843988e-002 -6.3405260e-002
4.1400000e-005 2.4794644e-001 -8.5375617e-001 -6.4947368e-001 -6.4947368e-001 -1.5032298e+000 -1.2552834e+000 3.0431744e-002 2.9819480e-002 -6.5158839e-002
