t 1 2 3 4 5 6 7 8 jV0100 
1.71e-07 0 4.98164 0 4.99881 0.00114139 4.99877 5 2.62864e-06 0
1.72e-07 0 4.98223 0 4.99887 0.00108704 4.99883 5 2.38967e-06 0
1.73e-07 0 4.98281 0 4.99892 0.00103528 4.99889 5 2.17243e-06 0
1.74e-07 0 4.98336 0 4.99897 0.000985977 4.99894 5 1.97493e-06 0
1.75e-07 0 4.9839 0 4.99902 0.000939026 4.99899 5 1.79539e-06 0
1.76e-07 0 4.98442 0 4.99907 0.00089431 4.99904 5 1.63218e-06 0
1.77e-07 0 4.98492 0 4.99911 0.000851724 4.99909 5 1.4838e-06 0
1.78e-07 0 4.98541 0 4.99915 0.000811166 4.99913 5 1.34891e-06 0
1.79e-07 0 4.98588 0 4.99919 0.000772539 4.99917 5 1.22628e-06 0
1.8e-07 0 4.98633 0 4.99923 0.000735751 4.99921 5 1.1148e-06 0
1.81e-07 0 4.98677 0 4.99927 0.000700716 4.99925 5 1.01345e-06 0
1.82e-07 0 4.9872 0 4.9993 0.000667348 4.99928 5 9.21321e-07 0
1.83e-07 0 4.98761 0 4.99934 0.00063557 4.99932 5 8.37564e-07 0
1.84e-07 0 4.98801 0 4.99937 0.000605305 4.99935 5 7.61422e-07 0
1.85e-07 0 4.9884 0 4.9994 0.00057648 4.99938 5 6.92202e-07 0
1.86e-07 0 4.98877 0 4.99943 0.000549029 4.99941 5 6.29274e-07 0
1.87e-07 0 4.98914 0 4.99945 0.000522885 4.99944 5 5.72068e-07 0
1.88e-07 0 4.98949 0 4.99948 0.000497986 4.99947 5 5.20062e-07 0
1.89e-07 0 4.98983 0 4.99951 0.000474272 4.99949 5 4.72783e-07 0
1.9e-07 0 4.99015 0 4.99953 0.000451688 4.99951 5 4.29803e-07 0
1.91e-07 0 4.99047 0 4.99955 0.000430179 4.99954 5 3.9073e-07 0
1.92e-07 0 4.99078 0 4.99957 0.000409694 4.99956 5 3.55209e-07 0
1.93e-07 0 4.99108 0 4.99959 0.000390185 4.99958 5 3.22917e-07 0
1.94e-07 0 4.99136 0 4.99961 0.000371604 4.9996 5 2.93561e-07 0
1.95e-07 0 4.99164 0 4.99963 0.000353909 4.99962 5 2.66874e-07 0
1.96e-07 0 4.99191 0 4.99965 0.000337056 4.99964 5 2.42613e-07 0
1.97e-07 0 4.99217 0 4.99967 0.000321006 4.99966 5 2.20557e-07 0
1.98e-07 0 4.99243 0 4.99968 0.00030572 4.99967 5 2.00506e-07 0
1.99e-07 0 4.99267 0 4.9997 0.000291162 4.99969 5 1.82278e-07 0
2e-07 0 4.99291 0 4.99971 0.000277297 4.9997 5 1.65708e-07 0
2.01e-07 0 4.99313 0 4.99972 0.000264092 4.99972 5 1.50643e-07 0
2.02e-07 0 4.99336 0 4.99974 0.000251517 4.99973 5 1.36948e-07 0
2.03e-07 0 4.99357 0 4.99975 0.00023954 4.99974 5 1.24499e-07 0
