t 1 2 3 4 5 6 7 8 9 10 jV0700 
0.00531 1.66714 0.00166547 4.99833 0.00041668 4.99958 8.64353e-86 0 5 8.70458e-194 5 0
0.00534 1.66714 0.00166547 4.99833 0.00041668 4.99958 5.75852e-89 0 5 5.79919e-197 5 0
0.00537 1.66714 0.00166547 4.99833 0.00041668 4.99958 3.83645e-92 0 5 3.86355e-200 5 0
0.0054 1.66714 0.00166547 4.99833 0.00041668 4.99958 2.55593e-95 0 5 2.57398e-203 5 0
0.00543 1.66714 0.00166547 4.99833 0.00041668 4.99958 1.70282e-98 0 5 1.71485e-206 5 0
0.00546 1.66714 0.00166547 4.99833 0.00041668 4.99958 1.13446e-101 0 5 1.14247e-209 5 0
0.00549 1.66714 0.00166547 4.99833 0.00041668 4.99958 7.558e-105 0 5 7.61138e-213 5 0
0.00552 2.00058 0.00199858 4.9985 4.99925 0.000250042 4.99667 5 0.00333111 5.07088e-216 5 0
0.00555 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 2.21926e-06 3.37833e-219 5 0
0.00558 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 1.47852e-09 2.25072e-222 5 0
0.00561 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 9.85025e-13 1.49948e-225 5 0
0.00564 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 6.56246e-16 9.98988e-229 5 0
0.00567 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 4.37206e-19 6.65548e-232 5 0
0.0057 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 2.91276e-22 4.43403e-235 5 0
0.00573 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 1.94055e-25 2.95405e-238 5 0
0.00576 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 1.29284e-28 1.96806e-241 5 0
0.00579 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 8.61317e-32 1.31116e-244 5 0
0.00582 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 5.73829e-35 8.73526e-248 5 0
0.00585 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 3.82298e-38 5.81963e-251 5 0
0.00588 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 2.54695e-41 3.87717e-254 5 0
0.00591 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 1.69684e-44 2.58306e-257 5 0
0.00594 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 1.13047e-47 1.72089e-260 5 0
0.00597 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 7.53146e-51 1.1465e-263 5 0
0.006 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 5 5.01763e-54 7.63821e-267 5 0
0.00603 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 3.34286e-57 5.08875e-270 5 0
0.00606 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 2.22709e-60 3.39024e-273 5 0
0.00609 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 1.48373e-63 2.25865e-276 5 0
0.00612 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 9.88497e-67 1.50477e-279 5 0
0.00615 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 6.58559e-70 1.00251e-282 5 0
0.00618 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 4.38747e-73 6.67894e-286 5 0
0.00621 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 2.92303e-76 4.44966e-289 5 0
0.00624 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 1.94739e-79 2.96446e-292 5 0
0.00627 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 1.29739e-82 1.97499e-295 5 0
0.0063 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 8.64353e-86 1.31579e-298 5 0
0.00633 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 5.75852e-89 8.76606e-302 5 0
0.00636 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 3.83645e-92 5.84014e-305 5 0
0.00639 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 2.55593e-95 3.89084e-308 5 0
0.00642 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 1.70282e-98 2.59216e-311 5 0
0.00645 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 1.13446e-101 1.72696e-314 5 0
0.00648 2.00058 0.00199858 4.9985 4.99925 0.000250042 5 0 7.558e-105 1.15041e-317 5 0
0.00651 2.33411 0.00233178 4.99867 4.99933 4.99967 0.00333111 5 5.03531e-108 9.87637e-321 5 0
0.00654 2.33411 0.00233178 4.99867 4.99933 4.99967 2.21926e-06 5 3.35464e-111 0 5 0
0.00657 2.33411 0.00233178 4.99867 4.99933 4.99967 1.47852e-09 5 2.23494e-114 0 5 0
0.0066 2.33411 0.00233178 4.99867 4.99933 4.99967 9.85025e-13 5 1.48896e-117 0 5 0
0.00663 2.33411 0.00233178 4.99867 4.99933 4.99967 6.56246e-16 5 9.91982e-121 0 5 0
0.00666 2.33411 0.00233178 4.99867 4.99933 4.99967 4.37206e-19 5 6.60881e-124 0 5 0
0.00669 2.33411 0.00233178 4.99867 4.99933 4.99967 2.91276e-22 5 4.40294e-127 0 5 0
0.00672 2.33411 0.00233178 4.99867 4.99933 4.99967 1.94055e-25 5 2.93333e-130 0 5 0
0.00675 2.33411 0.00233178 4.99867 4.99933 4.99967 1.29284e-28 5 1.95425e-133 0 5 0
0.00678 2.33411 0.00233178 4.99867 4.99933 4.99967 8.61317e-32 5 1.30197e-136 0 5 0
0.00681 2.33411 0.00233178 4.99867 4.99933 4.99967 5.73829e-35 5 8.674e-140 0 5 0
0.00684 2.33411 0.00233178 4.99867 4.99933 4.99967 3.82298e-38 5 5.77882e-143 0 5 0
0.00687 2.33411 0.00233178 4.99867 4.99933 4.99967 2.54695e-41 5 3.84998e-146 0 5 0
0.0069 2.33411 0.00233178 4.99867 4.99933 4.99967 1.69684e-44 5 2.56494e-149 0 5 0
0.00693 2.33411 0.00233178 4.99867 4.99933 4.99967 1.13047e-47 5 1.70882e-152 0 5 0
0.00696 2.33411 0.00233178 4.99867 4.99933 4.99967 7.53146e-51 5 1.13846e-155 0 5 0
0.00699 2.33411 0.00233178 4.99867 4.99933 4.99967 5.01763e-54 5 7.58465e-159 0 5 0
0.00702 2.33411 0.00233178 4.99867 4.99933 4.99967 3.34286e-57 0 5.05306e-162 0 5 0
0.00705 2.33411 0.00233178 4.99867 4.99933 4.99967 2.22709e-60 0 3.36646e-165 0 5 0
0.00708 2.33411 0.00233178 4.99867 4.99933 4.99967 1.48373e-63 0 2.24281e-168 0 5 0
