t 1 2 3 4 5 6 7 
2.81e-08 0.255455 0 3.76886 5 0 5 0
2.82e-08 0.256364 0 3.77499 5 0 5 0
2.83e-08 0.257273 0 3.78108 5 0 5 0
2.84e-08 0.258182 0 3.78715 5 0 5 0
2.85e-08 0.259091 0 3.79318 5 0 5 0
2.86e-08 0.26 0 3.79918 5 0 5 0
2.87e-08 0.260909 0 3.80516 5 0 5 0
2.88e-08 0.261818 0 3.8111 5 0 5 0
2.89e-08 0.262727 0 3.81702 5 0 5 0
2.9e-08 0.263636 0 3.8229 5 0 5 0
2.91e-08 0.264545 0 3.82876 5 0 5 0
2.92e-08 0.265455 0 3.83459 5 0 5 0
2.93e-08 0.266364 0 3.84038 5 0 5 0
2.94e-08 0.267273 0 3.84615 5 0 5 0
2.95e-08 0.268182 0 3.85189 5 0 5 0
2.96e-08 0.269091 0 3.85761 5 0 5 0
2.97e-08 0.27 0 3.86329 5 0 5 0
2.98e-08 0.270909 0 3.86895 5 0 5 0
2.99e-08 0.271818 0 3.87457 5 0 5 0
3e-08 0.272727 0 3.88017 5 0 5 0
3.01e-08 0.273636 0 3.88574 5 0 5 0
3.02e-08 0.274545 0 3.89129 5 0 5 0
3.03e-08 0.275455 0 3.8968 5 0 5 0
3.04e-08 0.276364 0 3.90229 5 0 5 0
3.05e-08 0.277273 0 3.90775 5 0 5 0
3.06e-08 0.278182 0 3.91319 5 0 5 0
3.07e-08 0.279091 0 3.91859 5 0 5 0
3.08e-08 0.28 0 3.92397 5 0 5 0
3.09e-08 0.280909 0 3.92933 5 0 5 0
3.1e-08 0.281818 0 3.93465 5 0 5 0
3.11e-08 0.282727 0 3.93995 5 0 5 0
3.12e-08 0.283636 0 3.94523 5 0 5 0
3.13e-08 0.284545 0 3.95048 5 0 5 0
3.14e-08 0.285455 0 3.9557 5 0 5 0
3.15e-08 0.286364 0 3.96089 5 0 5 0
3.16e-08 0.287273 0 3.96606 5 0 5 0
3.17e-08 0.288182 0 3.97121 5 0 5 0
3.18e-08 0.289091 0 3.97632 5 0 5 0
3.19e-08 0.29 0 3.98142 5 0 5 0
3.2e-08 0.290909 0 3.98648 5 0 5 0
3.21e-08 0.291818 0 3.99153 5 0 5 0
3.22e-08 0.292727 0 3.99654 5 0 5 0
3.23e-08 0.293636 0 4.00154 5 0 5 0
3.24e-08 0.294545 0 4.0065 5 0 5 0
3.25e-08 0.295455 0 4.01145 5 0 5 0
3.26e-08 0.296364 0 4.01637 5 0 5 0
3.27e-08 0.297273 0 4.02126 5 0 5 0
3.28e-08 0.298182 0 4.02613 5 0 5 0
3.29e-08 0.299091 0 4.03097 5 0 5 0
3.3e-08 0.3 0 4.03579 5 0 5 0
3.31e-08 0.300909 0 4.04059 5 0 5 0
3.32e-08 0.301818 0 4.04536 5 0 5 0
3.33e-08 0.302727 0 4.05011 5 0 5 0
3.34e-08 0.303636 0 4.05484 5 0 5 0
3.35e-08 0.304545 0 4.05954 5 0 5 0
3.36e-08 0.305455 0 4.06422 5 0 5 0
3.37e-08 0.306364 0 4.06888 5 0 5 0
3.38e-08 0.307273 0 4.07351 5 0 5 0
3.39e-08 0.308182 0 4.07812 5 0 5 0
3.4e-08 0.309091 0 4.08271 5 0 5 0
3.41e-08 0.31 0 4.08727 5 0 5 0
3.42e-08 0.310909 0 4.09181 5 0 5 0
3.43e-08 0.311818 0 4.09633 5 0 5 0
3.44e-08 0.312727 0 4.10082 5 0 5 0
3.45e-08 0.313636 0 4.1053 5 0 5 0
3.46e-08 0.314545 0 4.10975 5 0 5 0
3.47e-08 0.315455 0 4.11418 5 0 5 0
3.48e-08 0.316364 0 4.11858 5 0 5 0
3.49e-08 0.317273 0 4.12297 5 0 5 0
3.5e-08 0.318182 0 4.12733 5 0 5 0
3.51e-08 0.319091 0 4.13167 5 0 5 0
3.52e-08 0.32 0 4.13599 5 0 5 0
3.53e-08 0.320909 0 4.14029 5 0 5 0
3.54e-08 0.321818 0 4.14457 5 0 5 0
3.55e-08 0.322727 0 4.14883 5 0 5 0
3.56e-08 0.323636 0 4.15306 5 0 5 0
3.57e-08 0.324545 0 4.15727 5 0 5 0
3.58e-08 0.325455 0 4.16147 5 0 5 0
3.59e-08 0.326364 0 4.16564 5 0 5 0
