t 1 2 3 4 5 6 7 jV0700 
1.62e-08 2.72535 0.129778 2.68459 0.244054 0 2.77122 0 0
1.63e-08 2.73602 0.130286 2.69489 0.24499 0 2.7823 0 0
1.64e-08 2.74663 0.130792 2.70514 0.245922 0 2.79334 0 0
1.65e-08 2.75719 0.131295 2.71533 0.246848 0 2.80432 0 0
1.66e-08 2.76769 0.131795 2.72546 0.247769 0 2.81524 0 0
1.67e-08 2.77814 0.132292 2.73554 0.248685 0 2.82611 0 0
1.68e-08 2.78853 0.132787 2.74556 0.249597 0 2.83692 0 0
1.69e-08 2.79887 0.133279 2.75553 0.250503 0 2.84769 0 0
1.7e-08 2.80915 0.133769 2.76545 0.251404 0 2.85839 0 0
1.71e-08 2.81939 0.134256 2.77531 0.252301 0 2.86905 0 0
1.72e-08 2.82956 0.134741 2.78512 0.253193 0 2.87965 0 0
1.73e-08 2.83969 0.135223 2.79487 0.254079 0 2.8902 0 0
1.74e-08 2.84976 0.135703 2.80458 0.254962 0 2.9007 0 0
1.75e-08 2.85978 0.13618 2.81423 0.255839 0 2.91114 0 0
1.76e-08 2.86975 0.136655 2.82382 0.256711 0 2.92153 0 0
1.77e-08 2.87967 0.137127 2.83337 0.257579 0 2.93187 0 0
1.78e-08 2.88953 0.137597 2.84286 0.258442 0 2.94216 0 0
1.79e-08 2.89934 0.138064 2.8523 0.2593 0 2.9524 0 0
1.8e-08 2.90911 0.138529 2.8617 0.260154 0 2.96259 0 0
1.81e-08 2.91882 0.138991 2.87103 0.261003 0 2.97272 0 0
1.82e-08 2.92848 0.139451 2.88032 0.261848 0 2.98281 0 0
1.83e-08 2.93809 0.139909 2.88956 0.262688 0 2.99285 0 0
1.84e-08 2.94765 0.140364 2.89875 0.263523 0 3.00283 0 0
1.85e-08 2.95716 0.140817 2.90789 0.264354 0 3.01277 0 0
1.86e-08 2.96662 0.141268 2.91698 0.26518 0 3.02265 0 0
1.87e-08 2.97603 0.141716 2.92602 0.266002 0 3.03249 0 0
1.88e-08 2.98539 0.142161 2.93501 0.266819 0 3.04228 0 0
