t 1 2 3 4 5
0.0028300 0.017125 0.077746 0.017125 0.034250 0.017125
0.0028400 0.017755 0.060621 0.017755 0.035511 0.017755
0.0028500 0.018119 0.042866 0.018119 0.036239 0.018119
0.0028600 0.018215 0.024747 0.018215 0.036431 0.018215
0.0028700 0.018046 0.006531 0.018046 0.036092 0.018046
0.0028800 0.017618 -0.011515 0.017618 0.035235 0.017618
0.0028900 0.016940 -0.029132 0.016940 0.033880 0.016940
0.0029000 0.016027 -0.046073 0.016027 0.032054 0.016027
0.0029100 0.014895 -0.062099 0.014895 0.029789 0.014895
0.0029200 0.013563 -0.076994 0.013563 0.027126 0.013563
0.0029300 0.012054 -0.090557 0.012054 0.024108 0.012054
0.0029400 0.010392 -0.102611 0.010392 0.020784 0.010392
0.0029500 0.008604 -0.113003 0.008604 0.017208 0.008604
0.0029600 0.006717 -0.121607 0.006717 0.013433 0.006717
0.0029700 0.004760 -0.128323 0.004760 0.009519 0.004760
0.0029800 0.002762 -0.133083 0.002762 0.005524 0.002762
0.0029900 0.000753 -0.135845 0.000753 0.001506 0.000753
0.0030000 -0.001238 -0.136598 -0.001238 -0.002475 -0.001238
0.0030100 -0.003181 -0.135360 -0.003181 -0.006363 -0.003181
0.0030200 -0.005051 -0.132179 -0.005051 -0.010102 -0.005051
0.0030300 -0.006820 -0.127128 -0.006820 -0.013640 -0.006820
0.0030400 -0.008465 -0.120308 -0.008465 -0.016930 -0.008465
0.0030500 -0.009963 -0.111843 -0.009963 -0.019926 -0.009963
0.0030600 -0.011295 -0.101880 -0.011295 -0.022590 -0.011295
0.0030700 -0.012444 -0.090585 -0.012444 -0.024889 -0.012444
0.0030800 -0.013396 -0.078140 -0.013396 -0.026793 -0.013396
0.0030900 -0.014141 -0.064744 -0.014141 -0.028281 -0.014141
0.0031000 -0.014669 -0.050603 -0.014669 -0.029338 -0.014669
0.0031100 -0.014977 -0.035934 -0.014977 -0.029955 -0.014977
0.0031200 -0.015064 -0.020957 -0.015064 -0.030128 -0.015064
0.0031300 -0.014931 -0.005893 -0.014931 -0.029862 -0.014931
0.0031400 -0.014584 0.009038 -0.014584 -0.029167 -0.014584
0.0031500 -0.014030 0.023622 -0.014030 -0.028060 -0.014030
0.0031600 -0.013281 0.037652 -0.013281 -0.026562 -0.013281
0.0031700 -0.012350 0.050933 -0.012350 -0.024701 -0.012350
0.0031800 -0.011254 0.063283 -0.011254 -0.022508 -0.011254
0.0031900 -0.010011 0.074537 -0.010011 -0.020022 -0.010011
0.0032000 -0.008640 0.084548 -0.008640 -0.017281 -0.008640
0.0032100 -0.007165 0.093188 -0.007165 -0.014329 -0.007165
0.0032200 -0.005606 0.100353 -0.005606 -0.011213 -0.005606
0.0032300 -0.003990 0.105959 -0.003990 -0.007979 -0.003990
0.0032400 -0.002338 0.109949 -0.002338 -0.004676 -0.002338
0.0032500 -0.000677 0.112287 -0.000677 -0.001354 -0.000677
0.0032600 0.000970 0.112964 0.000970 0.001940 0.000970
0.0032700 0.002579 0.111994 0.002579 0.005158 0.002579
0.0032800 0.004127 0.109415 0.004127 0.008255 0.004127
0.0032900 0.005593 0.105288 0.005593 0.011187 0.005593
0.0033000 0.006957 0.099694 0.006957 0.013914 0.006957
0.0033100 0.008200 0.092737 0.008200 0.016401 0.008200
0.0033200 0.009307 0.084537 0.009307 0.018614 0.009307
0.0033300 0.010262 0.075230 0.010262 0.020524 0.010262
0.0033400 0.011055 0.064968 0.011055 0.022110 0.011055
0.0033500 0.011676 0.053913 0.011676 0.023352 0.011676
0.0033600 0.012119 0.042237 0.012119 0.024238 0.012119
0.0033700 0.012380 0.030118 0.012380 0.024760 0.012380
0.0033800 0.012458 0.017738 0.012458 0.024915 0.012458
0.0033900 0.012354 0.005280 0.012354 0.024707 0.012354
0.0034000 0.012072 -0.007073 0.012072 0.024144 0.012072
0.0034100 0.011620 -0.019145 0.011620 0.023239 0.011620
0.0034200 0.011005 -0.030765 0.011005 0.022011 0.011005
0.0034300 0.010240 -0.041770 0.010240 0.020481 0.010240
0.0034400 0.009338 -0.052011 0.009338 0.018676 0.009338
0.0034500 0.008314 -0.061349 0.008314 0.016628 0.008314
0.0034600 0.007184 -0.069663 0.007184 0.014367 0.007184
0.0034700 0.005966 -0.076846 0.005966 0.011932 0.005966
0.0034800 0.004679 -0.082812 0.004679 0.009358 0.004679
0.0034900 0.003343 -0.087491 0.003343 0.006687 0.003343
0.0035000 0.001979 -0.090835 0.001979 0.003957 0.001979
0.0035100 0.000605 -0.092813 0.000605 0.001209 0.000605
0.0035200 -0.000758 -0.093418 -0.000758 -0.001516 -0.000758
0.0035300 -0.002090 -0.092660 -0.002090 -0.004180 -0.002090
0.0035400 -0.003372 -0.090570 -0.003372 -0.006744 -0.003372
0.0035500 -0.004587 -0.087198 -0.004587 -0.009174 -0.004587
0.0035600 -0.005718 -0.082611 -0.005718 -0.011436 -0.005718
0.0035700 -0.006749 -0.076893 -0.006749 -0.013499 -0.006749
0.0035800 -0.007668 -0.070144 -0.007668 -0.015336 -0.007668
0.0035900 -0.008462 -0.062476 -0.008462 -0.016925 -0.008462
0.0036000 -0.009123 -0.054013 -0.009123 -0.018245 -0.009123
0.0036100 -0.009641 -0.044891 -0.009641 -0.019282 -0.009641
0.0036200 -0.010012 -0.035250 -0.010012 -0.020024 -0.010012
0.0036300 -0.010233 -0.025238 -0.010233 -0.020466 -0.010233
0.0036400 -0.010302 -0.015005 -0.010302 -0.020604 -0.010302
0.0036500 -0.010221 -0.004703 -0.010221 -0.020442 -0.010221
0.0036600 -0.009993 0.005518 -0.009993 -0.019985 -0.009993
0.0036700 -0.009623 0.015510 -0.009623 -0.019246 -0.009623
0.0036800 -0.009119 0.025133 -0.009119 -0.018239 -0.009119
0.0036900 -0.008491 0.034253 -0.008491 -0.016982 -0.008491
0.0037000 -0.007748 0.042744 -0.007748 -0.015496 -0.007748
0.0037100 -0.006904 0.050492 -0.006904 -0.013808 -0.006904
0.0037200 -0.005972 0.057396 -0.005972 -0.011945 -0.005972
0.0037300 -0.004967 0.063368 -0.004967 -0.009935 -0.004967
0.0037400 -0.003905 0.068336 -0.003905 -0.007810 -0.003905
0.0037500 -0.002801 0.072241 -0.002801 -0.005603 -0.002801
0.0037600 -0.001673 0.075042 -0.001673 -0.003347 -0.001673
0.0037700 -0.000537 0.076715 -0.000537 -0.001074 -0.000537
0.0037800 0.000590 0.077253 0.000590 0.001180 0.000590
